Sub-Cluster,Code,Occupation
Engineering,17-2011.00,Aerospace Engineers
Engineering,19-1021.00,Biochemists and Biophysicists
Engineering,17-2031.00,Bioengineers and Biomedical Engineers
Engineering,17-2041.00,Chemical Engineers
Engineering,19-2031.00,Chemists
Engineering,27-1021.00,Commercial and Industrial Designers
Engineering,27-1029.00,"Designers, All Other"
Engineering,17-2112.01,Human Factors Engineers and Ergonomists
Engineering,17-2112.00,Industrial Engineers
Engineering,17-2112.03,Manufacturing Engineers
Engineering,19-2032.00,Materials Scientists
Engineering,15-2021.00,Mathematicians
Engineering,49-9063.00,Musical Instrument Repairers and Tuners
Engineering,19-4051.02,Nuclear Monitoring Technicians
Engineering,19-4051.00,Nuclear Technicians
Engineering,19-2012.00,Physicists
Engineering,17-2072.01,Radio Frequency Identification Device Specialists
Engineering,15-2041.00,Statisticians
Engineering,51-2061.00,Timing Device Assemblers and Adjusters
Engineering,17-2112.02,Validation Engineers
Engineering,49-9064.00,Watch and Clock Repairers
Engineering; Industrial Machinery,49-9099.01,Geothermal Technicians
Engineering; Industrial Machinery,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other"
Engineering; Production & Automation,11-9041.00,Architectural and Engineering Managers
Engineering; Production & Automation,17-2141.02,Automotive Engineers
Engineering; Production & Automation,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Engineering; Production & Automation,51-8091.00,Chemical Plant and System Operators
Engineering; Production & Automation,19-4031.00,Chemical Technicians
Engineering; Production & Automation,17-3019.00,"Drafters, All Other"
Engineering; Production & Automation,17-2071.00,Electrical Engineers
Engineering; Production & Automation,17-2199.03,"Energy Engineers, Except Wind and Solar"
Engineering; Production & Automation,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Engineering; Production & Automation,17-2199.00,"Engineers, All Other"
Engineering; Production & Automation,17-2141.01,Fuel Cell Engineers
Engineering; Production & Automation,17-3026.00,Industrial Engineering Technologists and Technicians
Engineering; Production & Automation,51-9071.00,Jewelers and Precious Stone and Metal Workers
Engineering; Production & Automation,17-3013.00,Mechanical Drafters
Engineering; Production & Automation,17-2141.00,Mechanical Engineers
Engineering; Production & Automation,17-2199.05,Mechatronics Engineers
Engineering; Production & Automation,17-2199.06,Microsystems Engineers
Engineering; Production & Automation,17-2199.09,Nanosystems Engineers
Engineering; Production & Automation,17-3026.01,Nanotechnology Engineering Technologists and Technicians
Engineering; Production & Automation,17-3029.01,Non-Destructive Testing Specialists
Engineering; Production & Automation,17-2199.07,Photonics Engineers
Engineering; Production & Automation,17-3029.08,Photonics Technicians
Engineering; Production & Automation,49-9069.00,"Precision Instrument and Equipment Repairers, All Other"
Engineering; Production & Automation,17-2199.08,Robotics Engineers
Engineering; Production & Automation,17-2199.11,Solar Energy Systems Engineers
Engineering; Production & Automation,51-2041.00,Structural Metal Fabricators and Fitters
Engineering; Production & Automation,17-2199.10,Wind Energy Engineers
Engineering; Production & Automation; Robotics,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
Engineering; Robotics,17-3012.00,Electrical and Electronics Drafters
Engineering; Safety & Quality Assurance,11-9121.01,Clinical Research Coordinators
Engineering; Safety & Quality Assurance,11-9121.00,Natural Sciences Managers
Engineering; Safety & Quality Assurance,11-9121.02,Water Resource Specialists
Industrial Machinery,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Industrial Machinery,53-7011.00,Conveyor Operators and Tenders
Industrial Machinery,53-7021.00,Crane and Tower Operators
Industrial Machinery,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,53-7031.00,Dredge Operators
Industrial Machinery,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Industrial Machinery,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Industrial Machinery,51-2031.00,Engine and Other Machine Assemblers
Industrial Machinery,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Industrial Machinery,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,53-7041.00,Hoist and Winch Operators
Industrial Machinery,49-9041.00,Industrial Machinery Mechanics
Industrial Machinery,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,53-7063.00,Machine Feeders and Offbearers
Industrial Machinery,49-9062.00,Medical Equipment Repairers
Industrial Machinery,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Industrial Machinery,51-9151.00,Photographic Process Workers and Processing Machine Operators
Industrial Machinery,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
Industrial Machinery,51-8021.00,Stationary Engineers and Boiler Operators
Industrial Machinery; Production & Automation,17-3027.01,Automotive Engineering Technicians
Industrial Machinery; Production & Automation,51-4041.00,Machinists
Industrial Machinery; Production & Automation,17-3027.00,Mechanical Engineering Technologists and Technicians
Industrial Machinery; Production & Automation; Robotics,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Industrial Machinery; Production & Automation; Robotics,17-3024.01,Robotics Technicians
Industrial Machinery; Production & Automation; Robotics; Safety & Quality Assurance,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
Production & Automation,51-9191.00,Adhesive Bonding Machine Operators and Tenders
Production & Automation,51-2099.00,"Assemblers and Fabricators, All Other"
Production & Automation,11-3051.03,Biofuels Production Managers
Production & Automation,11-3051.04,Biomass Power Plant Managers
Production & Automation,51-7011.00,Cabinetmakers and Bench Carpenters
Production & Automation,51-9011.00,Chemical Equipment Operators and Tenders
Production & Automation,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Production & Automation,51-9161.00,Computer Numerically Controlled Tool Operators
Production & Automation,51-9162.00,Computer Numerically Controlled Tool Programmers
Production & Automation,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Production & Automation,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
Production & Automation,51-9031.00,"Cutters and Trimmers, Hand"
Production & Automation,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Production & Automation,51-9194.00,Etchers and Engravers
Production & Automation,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Production & Automation,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
Production & Automation,51-6092.00,Fabric and Apparel Patternmakers
Production & Automation,51-2051.00,Fiberglass Laminators and Fabricators
Production & Automation,51-1011.00,First-Line Supervisors of Production and Operating Workers
Production & Automation,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Production & Automation,51-3092.00,Food Batchmakers
Production & Automation,51-3093.00,Food Cooking Machine Operators and Tenders
Production & Automation,51-3099.00,"Food Processing Workers, All Other"
Production & Automation,19-1032.00,Foresters
Production & Automation,51-4071.00,Foundry Mold and Coremakers
Production & Automation,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
Production & Automation,51-7021.00,Furniture Finishers
Production & Automation,51-9071.06,Gem and Diamond Workers
Production & Automation,11-3051.02,Geothermal Production Managers
Production & Automation,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
Production & Automation,51-9022.00,"Grinding and Polishing Workers, Hand"
Production & Automation,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Production & Automation,51-9198.00,Helpers--Production Workers
Production & Automation,11-3051.06,Hydroelectric Production Managers
Production & Automation,11-3051.00,Industrial Production Managers
Production & Automation,51-6011.00,Laundry and Dry-Cleaning Workers
Production & Automation,51-4192.00,"Layout Workers, Metal and Plastic"
Production & Automation,49-9095.00,Manufactured Building and Mobile Home Installers
Production & Automation,17-2131.00,Materials Engineers
Production & Automation,51-4199.00,"Metal Workers and Plastic Workers, All Other"
Production & Automation,51-4051.00,Metal-Refining Furnace Operators and Tenders
