Sub-Cluster,Code,Occupation
Agribusiness,19-3011.00,Economists
Agribusiness,19-3011.01,Environmental Economists
Agribusiness; Animal Systems; Food Science & Processing; Plant Systems; Water Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Agribusiness; Animal Systems; Food Science & Processing; Plant Systems; Water Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Agricultural Technology & Automation,17-2021.00,Agricultural Engineers
Agricultural Technology & Automation,45-2091.00,Agricultural Equipment Operators
Agricultural Technology & Automation,45-2099.00,"Agricultural Workers, All Other"
Agricultural Technology & Automation,13-1074.00,Farm Labor Contractors
Agricultural Technology & Automation,45-2041.00,"Graders and Sorters, Agricultural Products"
Agricultural Technology & Automation; Water Systems,49-3041.00,Farm Equipment Mechanics and Service Technicians
Animal Systems,45-2021.00,Animal Breeders
Animal Systems,39-2021.00,Animal Caretakers
Animal Systems,33-9011.00,Animal Control Workers
Animal Systems,39-2011.00,Animal Trainers
Animal Systems,29-1131.00,Veterinarians
Animal Systems,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Animal Systems,29-2056.00,Veterinary Technologists and Technicians
Animal Systems; Food Science & Processing,19-1011.00,Animal Scientists
Animal Systems; Food Science & Processing; Plant Systems,19-4012.00,Agricultural Technicians
Animal Systems; Plant Systems,19-1029.01,Bioinformatics Scientists
Animal Systems; Plant Systems,19-1029.04,Biologists
Animal Systems; Plant Systems,19-1029.03,Geneticists
Animal Systems; Plant Systems; Water Systems,19-1029.00,"Biological Scientists, All Other"
Animal Systems; Plant Systems; Water Systems,19-1029.02,Molecular and Cellular Biologists
Animal Systems; Water Systems,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Food Science & Processing,45-2011.00,Agricultural Inspectors
Food Science & Processing,51-3021.00,Butchers and Meat Cutters
Food Science & Processing,51-3099.00,"Food Processing Workers, All Other"
Food Science & Processing,19-4013.00,Food Science Technicians
Food Science & Processing,19-1012.00,Food Scientists and Technologists
Food Science & Processing,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
Food Science & Processing,51-3023.00,Slaughterers and Meat Packers
Food Science & Processing; Plant Systems,19-4012.01,Precision Agriculture Technicians
Plant Systems,11-9041.00,Architectural and Engineering Managers
Plant Systems,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Plant Systems,17-2041.00,Chemical Engineers
Plant Systems,17-2199.00,"Engineers, All Other"
Plant Systems,45-4021.00,Fallers
Plant Systems,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Plant Systems,19-4071.00,Forest and Conservation Technicians
Plant Systems,45-4011.00,Forest and Conservation Workers
Plant Systems,19-1032.00,Foresters
Plant Systems,45-4023.00,Log Graders and Scalers
Plant Systems,45-4022.00,Logging Equipment Operators
Plant Systems,45-4029.00,"Logging Workers, All Other"
Plant Systems,19-1022.00,Microbiologists
Plant Systems,37-2021.00,Pest Control Workers
Plant Systems,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
Plant Systems,19-1013.00,Soil and Plant Scientists
Water Systems,17-3025.00,Environmental Engineering Technologists and Technicians
Water Systems,45-3031.00,Fishing and Hunting Workers
Water Systems,19-4044.00,Hydrologic Technicians
Water Systems,19-2043.00,Hydrologists
