Sub-Cluster,Code,Occupation
Design & Digital Arts,27-1029.00,"Designers, All Other"
Design & Digital Arts,27-1024.00,Graphic Designers
Design & Digital Arts,11-9199.00,"Managers, All Other"
Design & Digital Arts,39-3021.00,Motion Picture Projectionists
Design & Digital Arts,15-1252.00,Software Developers
Design & Digital Arts,27-1014.00,Special Effects Artists and Animators
Design & Digital Arts,15-1255.01,Video Game Designers
Design & Digital Arts,15-1255.00,Web and Digital Interface Designers
Design & Digital Arts,15-1254.00,Web Developers
Design & Digital Arts; Fine Arts,27-4021.00,Photographers
Design & Digital Arts; Media Production & Broadcasting,27-4032.00,Film and Video Editors
Fashion & Interiors,11-9041.00,Architectural and Engineering Managers
Fashion & Interiors,51-6092.00,Fabric and Apparel Patternmakers
Fashion & Interiors,27-1022.00,Fashion Designers
Fashion & Interiors,27-1025.00,Interior Designers
Fashion & Interiors,17-2131.00,Materials Engineers
Fashion & Interiors,27-1026.00,Merchandise Displayers and Window Trimmers
Fashion & Interiors,51-6051.00,"Sewers, Hand"
Fashion & Interiors,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Fine Arts,27-1011.00,Art Directors
Fine Arts,27-1012.00,Craft Artists
Fine Arts,25-4012.00,Curators
Fine Arts,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Lighting & Sound Technology,27-4011.00,Audio and Video Technicians
Lighting & Sound Technology,49-2097.00,Audiovisual Equipment Installers and Repairers
Lighting & Sound Technology,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Lighting & Sound Technology,27-4015.00,Lighting Technicians
Lighting & Sound Technology,27-4099.00,"Media and Communication Equipment Workers, All Other"
Lighting & Sound Technology,17-3029.01,Non-Destructive Testing Specialists
Lighting & Sound Technology,17-3029.08,Photonics Technicians
Lighting & Sound Technology,27-4014.00,Sound Engineering Technicians
Media Production & Broadcasting,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
Media Production & Broadcasting,27-4012.00,Broadcast Technicians
Media Production & Broadcasting,49-9061.00,Camera and Photographic Equipment Repairers
Media Production & Broadcasting,27-4031.00,"Camera Operators, Television, Video, and Film"
Media Production & Broadcasting,43-9021.00,Data Entry Keyers
Media Production & Broadcasting,27-2091.00,"Disc Jockeys, Except Radio"
Media Production & Broadcasting,27-3041.00,Editors
Media Production & Broadcasting,51-9194.00,Etchers and Engravers
Media Production & Broadcasting,11-2033.00,Fundraising Managers
Media Production & Broadcasting,27-3099.00,"Media and Communication Workers, All Other"
Media Production & Broadcasting,27-2012.03,Media Programming Directors
Media Production & Broadcasting,27-2012.05,Media Technical Directors/Managers
Media Production & Broadcasting,27-2041.00,Music Directors and Composers
Media Production & Broadcasting,27-3023.00,"News Analysts, Reporters, and Journalists"
Media Production & Broadcasting,27-3043.05,"Poets, Lyricists and Creative Writers"
Media Production & Broadcasting,51-5111.00,Prepress Technicians and Workers
Media Production & Broadcasting,51-5112.00,Printing Press Operators
Media Production & Broadcasting,27-2012.00,Producers and Directors
Media Production & Broadcasting,43-9081.00,Proofreaders and Copy Markers
Media Production & Broadcasting,27-2012.04,Talent Directors
Media Production & Broadcasting,27-3042.00,Technical Writers
Media Production & Broadcasting,27-3043.00,Writers and Authors
Performing Arts,27-2011.00,Actors
Performing Arts,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Performing Arts,27-1019.00,"Artists and Related Workers, All Other"
Performing Arts,27-2021.00,Athletes and Sports Competitors
Performing Arts,29-9091.00,Athletic Trainers
Performing Arts,27-2032.00,Choreographers
Performing Arts,27-2022.00,Coaches and Scouts
Performing Arts,39-3092.00,Costume Attendants
Performing Arts,27-2031.00,Dancers
Performing Arts,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
Performing Arts,39-3099.00,"Entertainment Attendants and Related Workers, All Other"
Performing Arts,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
Performing Arts,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Performing Arts,41-9012.00,Models
Performing Arts,27-2042.00,Musicians and Singers
Performing Arts,11-9179.00,"Personal Service Managers, All Other"
Performing Arts,27-1027.00,Set and Exhibit Designers
Performing Arts,27-2023.00,"Umpires, Referees, and Other Sports Officials"
