Sub-Cluster,Code,Occupation
Architecture & Civil Engineering,17-1011.00,"Architects, Except Landscape and Naval"
Architecture & Civil Engineering,17-3011.00,Architectural and Civil Drafters
Architecture & Civil Engineering,11-9041.00,Architectural and Engineering Managers
Architecture & Civil Engineering,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Architecture & Civil Engineering,17-1021.00,Cartographers and Photogrammetrists
Architecture & Civil Engineering,17-3022.00,Civil Engineering Technologists and Technicians
Architecture & Civil Engineering,17-2051.00,Civil Engineers
Architecture & Civil Engineering,27-1029.00,"Designers, All Other"
Architecture & Civil Engineering,17-3012.00,Electrical and Electronics Drafters
Architecture & Civil Engineering,17-2199.03,"Energy Engineers, Except Wind and Solar"
Architecture & Civil Engineering,17-2199.00,"Engineers, All Other"
Architecture & Civil Engineering,17-1022.01,Geodetic Surveyors
Architecture & Civil Engineering,17-1012.00,Landscape Architects
Architecture & Civil Engineering,17-2199.11,Solar Energy Systems Engineers
Architecture & Civil Engineering,17-1022.00,Surveyors
Architecture & Civil Engineering,17-2051.01,Transportation Engineers
Architecture & Civil Engineering,17-2051.02,Water/Wastewater Engineers
Architecture & Civil Engineering,17-2199.10,Wind Energy Engineers
Architecture & Civil Engineering; Skilled Trades,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Architecture & Civil Engineering; Skilled Trades,17-3029.01,Non-Destructive Testing Specialists
Construction Planning & Development,47-4011.00,Construction and Building Inspectors
Construction Planning & Development,11-9021.00,Construction Managers
Construction Planning & Development,13-1051.00,Cost Estimators
Construction Planning & Development,47-4011.01,Energy Auditors
Construction Planning & Development,19-3051.00,Urban and Regional Planners
Construction Planning & Development; Equipment Operation & Maintenance,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Construction Planning & Development; Skilled Trades,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Construction Planning & Development; Skilled Trades,47-1011.03,Solar Energy Installation Managers
Equipment Operation & Maintenance,47-5041.00,Continuous Mining Machine Operators
Equipment Operation & Maintenance,53-7021.00,Crane and Tower Operators
Equipment Operation & Maintenance,53-7031.00,Dredge Operators
Equipment Operation & Maintenance,47-5023.00,"Earth Drillers, Except Oil and Gas"
Equipment Operation & Maintenance,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Equipment Operation & Maintenance,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
Equipment Operation & Maintenance,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Equipment Operation & Maintenance,47-5099.00,"Extraction Workers, All Other"
Equipment Operation & Maintenance,47-4051.00,Highway Maintenance Workers
Equipment Operation & Maintenance,53-7041.00,Hoist and Winch Operators
Equipment Operation & Maintenance,45-4022.00,Logging Equipment Operators
Equipment Operation & Maintenance,49-9043.00,"Maintenance Workers, Machinery"
Equipment Operation & Maintenance,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Equipment Operation & Maintenance,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Equipment Operation & Maintenance,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Equipment Operation & Maintenance,47-2072.00,Pile Driver Operators
Equipment Operation & Maintenance,47-5049.00,"Underground Mining Machine Operators, All Other"
Equipment Operation & Maintenance; Skilled Trades,49-9099.01,Geothermal Technicians
Equipment Operation & Maintenance; Skilled Trades,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other"
Skilled Trades,47-2011.00,Boilermakers
Skilled Trades,47-2021.00,Brickmasons and Blockmasons
Skilled Trades,51-7011.00,Cabinetmakers and Bench Carpenters
Skilled Trades,47-2031.00,Carpenters
Skilled Trades,47-2041.00,Carpet Installers
Skilled Trades,47-2051.00,Cement Masons and Concrete Finishers
Skilled Trades,47-4099.00,"Construction and Related Workers, All Other"
Skilled Trades,47-2061.00,Construction Laborers
Skilled Trades,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Skilled Trades,47-2081.00,Drywall and Ceiling Tile Installers
Skilled Trades,51-2022.00,Electrical and Electronic Equipment Assemblers
Skilled Trades,47-2111.00,Electricians
Skilled Trades,51-2023.00,Electromechanical Equipment Assemblers
Skilled Trades,47-4021.00,Elevator and Escalator Installers and Repairers
Skilled Trades,47-4031.00,Fence Erectors
Skilled Trades,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Skilled Trades,47-2043.00,Floor Sanders and Finishers
Skilled Trades,51-7021.00,Furniture Finishers
Skilled Trades,47-2121.00,Glaziers
Skilled Trades,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Skilled Trades,47-3019.00,"Helpers, Construction Trades, All Other"
Skilled Trades,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Skilled Trades,47-3012.00,Helpers--Carpenters
Skilled Trades,47-3013.00,Helpers--Electricians
Skilled Trades,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Skilled Trades,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Skilled Trades,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Skilled Trades,47-3016.00,Helpers--Roofers
Skilled Trades,49-9031.00,Home Appliance Repairers
Skilled Trades,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Skilled Trades,47-2132.00,"Insulation Workers, Mechanical"
Skilled Trades,49-9094.00,Locksmiths and Safe Repairers
