Sub-Cluster,Code,Occupation
Data Science & AI,15-2041.01,Biostatisticians
Data Science & AI,15-2051.01,Business Intelligence Analysts
Data Science & AI,15-2051.02,Clinical Data Managers
Data Science & AI,15-2051.00,Data Scientists
Data Science & AI,15-2041.00,Statisticians
Data Science & AI; IT Support & Services,15-1299.07,Blockchain Engineers
Data Science & AI; IT Support & Services,15-1299.00,"Computer Occupations, All Other"
Data Science & AI; IT Support & Services,15-1299.08,Computer Systems Engineers/Architects
Data Science & AI; IT Support & Services,15-1299.06,Digital Forensics Analysts
Data Science & AI; IT Support & Services,15-1299.03,Document Management Specialists
Data Science & AI; IT Support & Services,15-1299.02,Geographic Information Systems Technologists and Technicians
Data Science & AI; IT Support & Services,15-1299.05,Information Security Engineers
Data Science & AI; IT Support & Services,15-1299.09,Information Technology Project Managers
Data Science & AI; IT Support & Services,15-1299.04,Penetration Testers
Data Science & AI; IT Support & Services,15-1299.01,Web Administrators
Data Science & AI; Network Systems & Cybersecurity,15-1211.00,Computer Systems Analysts
Data Science & AI; Network Systems & Cybersecurity,15-1211.01,Health Informatics Specialists
Data Science & AI; Network Systems & Cybersecurity,15-2021.00,Mathematicians
Data Science & AI; Web & Cloud,15-1221.00,Computer and Information Research Scientists
IT Support & Services,17-2061.00,Computer Hardware Engineers
IT Support & Services,15-1232.00,Computer User Support Specialists
IT Support & Services; Network Systems & Cybersecurity; Software Solutions; Web & Cloud,11-3021.00,Computer and Information Systems Managers
IT Support & Services; Software Solutions,15-1253.00,Software Quality Assurance Analysts and Testers
Network Systems & Cybersecurity,15-1212.00,Information Security Analysts
Network Systems & Cybersecurity,15-1244.00,Network and Computer Systems Administrators
Network Systems & Cybersecurity; Software Solutions; Web & Cloud,15-1251.00,Computer Programmers
Network Systems & Cybersecurity; Web & Cloud,15-1241.00,Computer Network Architects
Network Systems & Cybersecurity; Web & Cloud,15-1231.00,Computer Network Support Specialists
Network Systems & Cybersecurity; Web & Cloud,15-1241.01,Telecommunications Engineering Specialists
Software Solutions,15-1242.00,Database Administrators
Software Solutions; Web & Cloud,15-1243.01,Data Warehousing Specialists
Software Solutions; Web & Cloud,15-1243.00,Database Architects
Software Solutions; Web & Cloud,15-1252.00,Software Developers
Unmanned Vehicle Technology,19-2099.01,Remote Sensing Scientists and Technologists
Unmanned Vehicle Technology,19-4099.03,Remote Sensing Technicians
Web & Cloud,15-1255.01,Video Game Designers
Web & Cloud,15-1255.00,Web and Digital Interface Designers
Web & Cloud,15-1254.00,Web Developers
