Sub-Cluster,Code,Occupation
Clean & Alternative Energy,27-1021.00,Commercial and Industrial Designers
Clean & Alternative Energy,51-8011.00,Nuclear Power Reactor Operators
Clean & Alternative Energy,19-2012.00,Physicists
Clean & Alternative Energy,51-8012.00,Power Distributors and Dispatchers
Clean & Alternative Energy; Ecological Research & Development,17-2161.00,Nuclear Engineers
Clean & Alternative Energy; Ecological Research & Development; Environmental Protection; Resource Extraction; Utilities,11-9041.00,Architectural and Engineering Managers
Clean & Alternative Energy; Ecological Research & Development; Environmental Protection; Resource Extraction; Utilities,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Clean & Alternative Energy; Environmental Protection; Resource Extraction; Utilities,17-2199.03,"Energy Engineers, Except Wind and Solar"
Clean & Alternative Energy; Environmental Protection; Resource Extraction; Utilities,17-2199.00,"Engineers, All Other"
Clean & Alternative Energy; Environmental Protection; Resource Extraction; Utilities,17-2199.11,Solar Energy Systems Engineers
Clean & Alternative Energy; Environmental Protection; Resource Extraction; Utilities,17-2199.10,Wind Energy Engineers
Clean & Alternative Energy; Resource Extraction; Utilities,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Clean & Alternative Energy; Resource Extraction; Utilities,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Clean & Alternative Energy; Utilities,51-8013.03,Biomass Plant Technicians
Clean & Alternative Energy; Utilities,51-8013.04,Hydroelectric Plant Technicians
Clean & Alternative Energy; Utilities,19-4051.00,Nuclear Technicians
Clean & Alternative Energy; Utilities,51-8013.00,Power Plant Operators
Clean & Alternative Energy; Utilities,47-2231.00,Solar Photovoltaic Installers
Clean & Alternative Energy; Utilities,49-9081.00,Wind Turbine Service Technicians
Conservation & Land Management,11-3013.00,Facilities Managers
Conservation & Land Management,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Conservation & Land Management,11-1021.00,General and Operations Managers
Conservation & Land Management,17-1022.01,Geodetic Surveyors
Conservation & Land Management,11-3013.01,Security Managers
Conservation & Land Management; Ecological Research & Development,19-2041.02,Environmental Restoration Planners
Conservation & Land Management; Ecological Research & Development,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Conservation & Land Management; Ecological Research & Development,19-4071.00,Forest and Conservation Technicians
Conservation & Land Management; Ecological Research & Development,19-1032.00,Foresters
Conservation & Land Management; Ecological Research & Development,19-2041.03,Industrial Ecologists
Conservation & Land Management; Ecological Research & Development,19-1099.00,"Life Scientists, All Other"
Conservation & Land Management; Ecological Research & Development,11-9121.00,Natural Sciences Managers
Conservation & Land Management; Ecological Research & Development,19-2099.00,"Physical Scientists, All Other"
Conservation & Land Management; Ecological Research & Development,19-2099.01,Remote Sensing Scientists and Technologists
Conservation & Land Management; Ecological Research & Development,19-4099.03,Remote Sensing Technicians
Conservation & Land Management; Ecological Research & Development,11-9121.02,Water Resource Specialists
Conservation & Land Management; Ecological Research & Development,19-1023.00,Zoologists and Wildlife Biologists
Conservation & Land Management; Ecological Research & Development; Environmental Protection,19-1029.00,"Biological Scientists, All Other"
Conservation & Land Management; Ecological Research & Development; Environmental Protection,19-1031.00,Conservation Scientists
Conservation & Land Management; Ecological Research & Development; Environmental Protection,19-1031.03,Park Naturalists
Conservation & Land Management; Ecological Research & Development; Environmental Protection,19-1031.02,Range Managers
Conservation & Land Management; Ecological Research & Development; Environmental Protection,19-3099.00,"Social Scientists and Related Workers, All Other"
Conservation & Land Management; Ecological Research & Development; Environmental Protection; Resource Extraction,19-4044.00,Hydrologic Technicians
Conservation & Land Management; Ecological Research & Development; Resource Extraction,19-2043.00,Hydrologists
Conservation & Land Management; Resource Extraction,17-1021.00,Cartographers and Photogrammetrists
Conservation & Land Management; Resource Extraction,17-1022.00,Surveyors
Conservation & Land Management; Utilities,17-3031.00,Surveying and Mapping Technicians
Ecological Research & Development,19-2041.01,Climate Change Policy Analysts
Ecological Research & Development,17-3025.00,Environmental Engineering Technologists and Technicians
Ecological Research & Development,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Ecological Research & Development,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Ecological Research & Development,15-2099.00,"Mathematical Science Occupations, All Other"
Ecological Research & Development,15-2021.00,Mathematicians
Ecological Research & Development,19-1022.00,Microbiologists
Ecological Research & Development,19-1013.00,Soil and Plant Scientists
Ecological Research & Development,19-3022.00,Survey Researchers
Ecological Research & Development,27-3042.00,Technical Writers
Ecological Research & Development; Resource Extraction,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Ecological Research & Development; Utilities,17-2081.00,Environmental Engineers
Environmental Protection,33-2011.00,Firefighters
Environmental Protection,33-3031.00,Fish and Game Wardens
Environmental Protection,13-1041.04,Government Property Inspectors and Investigators
Environmental Protection; Resource Extraction,13-1041.00,Compliance Officers
Environmental Protection; Resource Extraction,13-1041.01,Environmental Compliance Inspectors
Environmental Protection; Resource Extraction,13-1041.07,Regulatory Affairs Specialists
Resource Extraction,17-3028.00,Calibration Technologists and Technicians
Resource Extraction,17-3022.00,Civil Engineering Technologists and Technicians
Resource Extraction,47-5041.00,Continuous Mining Machine Operators
Resource Extraction,47-5011.00,"Derrick Operators, Oil and Gas"
Resource Extraction,47-5023.00,"Earth Drillers, Except Oil and Gas"
Resource Extraction,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
Resource Extraction,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Resource Extraction,47-5099.00,"Extraction Workers, All Other"
Resource Extraction,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Resource Extraction,47-5081.00,Helpers--Extraction Workers
Resource Extraction,17-3026.00,Industrial Engineering Technologists and Technicians
Resource Extraction,49-9041.00,Industrial Machinery Mechanics
Resource Extraction,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Resource Extraction,17-2131.00,Materials Engineers
Resource Extraction,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
Resource Extraction,17-2171.00,Petroleum Engineers
Resource Extraction,49-9096.00,Riggers
Resource Extraction,47-5051.00,"Rock Splitters, Quarry"
Resource Extraction,47-5043.00,"Roof Bolters, Mining"
Resource Extraction,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Resource Extraction,47-5071.00,"Roustabouts, Oil and Gas"
Resource Extraction,47-5013.00,"Service Unit Operators, Oil and Gas"
Resource Extraction,47-5049.00,"Underground Mining Machine Operators, All Other"
Resource Extraction,53-7073.00,Wellhead Pumpers
Resource Extraction; Utilities,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Resource Extraction; Utilities,47-1011.03,Solar Energy Installation Managers
Utilities,51-8099.01,Biofuels Processing Technicians
Utilities,51-2021.00,"Coil Winders, Tapers, and Finishers"
Utilities,43-2099.00,"Communications Equipment Operators, All Other"
Utilities,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
Utilities,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Utilities,49-9051.00,Electrical Power-Line Installers and Repairers
Utilities,17-2072.00,"Electronics Engineers, Except Computer"
Utilities,51-8092.00,Gas Plant Operators
Utilities,47-4041.00,Hazardous Materials Removal Workers
Utilities,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
Utilities,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
Utilities,51-8099.00,"Plant and System Operators, All Other"
Utilities,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Utilities,53-7062.04,Recycling and Reclamation Workers
Utilities,53-1042.01,Recycling Coordinators
Utilities,53-7081.00,Refuse and Recyclable Material Collectors
Utilities,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Utilities,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Utilities,49-9052.00,Telecommunications Line Installers and Repairers
Utilities,51-8031.00,Water and Wastewater Treatment Plant and System Operators
