Sub-Cluster,Code,Occupation
Accounting,13-2011.00,Accountants and Auditors
Accounting,43-3011.00,Bill and Account Collectors
Accounting,43-3021.00,Billing and Posting Clerks
Accounting,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Accounting,43-9111.00,Statistical Assistants
Accounting,43-3071.00,Tellers
Accounting; Financial Strategy & Investments,13-2052.00,Personal Financial Advisors
Banking & Credit,13-2041.00,Credit Analysts
Banking & Credit,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
Banking & Credit,13-2071.00,Credit Counselors
Banking & Credit,13-2061.00,Financial Examiners
Banking & Credit,43-4131.00,Loan Interviewers and Clerks
Banking & Credit,13-2072.00,Loan Officers
Banking & Credit,43-4141.00,New Accounts Clerks
Financial Strategy & Investments,43-4011.00,Brokerage Clerks
Financial Strategy & Investments,15-2051.01,Business Intelligence Analysts
Financial Strategy & Investments,43-4021.00,Correspondence Clerks
Financial Strategy & Investments,15-2051.00,Data Scientists
Financial Strategy & Investments,43-3099.00,"Financial Clerks, All Other"
Financial Strategy & Investments,13-2099.01,Financial Quantitative Analysts
Financial Strategy & Investments,13-2054.00,Financial Risk Specialists
Financial Strategy & Investments,13-2099.00,"Financial Specialists, All Other"
Financial Strategy & Investments,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Financial Strategy & Investments,11-2033.00,Fundraising Managers
Financial Strategy & Investments,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Financial Strategy & Investments,15-2041.00,Statisticians
Financial Strategy & Investments,13-2082.00,Tax Preparers
Financial Strategy & Investments; Insurance,13-2051.00,Financial and Investment Analysts
Financial Strategy & Investments; Insurance,15-2099.00,"Mathematical Science Occupations, All Other"
Financial Strategy & Investments; Insurance,15-2021.00,Mathematicians
Insurance,15-2011.00,Actuaries
Insurance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Insurance,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Insurance,13-1041.00,Compliance Officers
Insurance,13-1032.00,"Insurance Appraisers, Auto Damage"
Insurance,43-9041.00,Insurance Claims and Policy Processing Clerks
Insurance,41-3021.00,Insurance Sales Agents
Insurance,13-2053.00,Insurance Underwriters
Insurance,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Real Estate,13-2023.00,Appraisers and Assessors of Real Estate
Real Estate,13-2022.00,Appraisers of Personal and Business Property
Real Estate,11-9141.00,"Property, Real Estate, and Community Association Managers"
Real Estate,41-9021.00,Real Estate Brokers
Real Estate,41-9022.00,Real Estate Sales Agents
