Sub-Cluster,Code,Occupation
Behavioral & Mental Health,29-1129.01,Art Therapists
Behavioral & Mental Health,19-3033.00,Clinical and Counseling Psychologists
Behavioral & Mental Health,19-3039.03,Clinical Neuropsychologists
Behavioral & Mental Health,21-1019.00,"Counselors, All Other"
Behavioral & Mental Health,21-1013.00,Marriage and Family Therapists
Behavioral & Mental Health,21-1014.00,Mental Health Counselors
Behavioral & Mental Health,29-1129.02,Music Therapists
Behavioral & Mental Health,19-3039.02,Neuropsychologists
Behavioral & Mental Health,31-2012.00,Occupational Therapy Aides
Behavioral & Mental Health,19-3039.00,"Psychologists, All Other"
Behavioral & Mental Health,29-1125.00,Recreational Therapists
Behavioral & Mental Health,21-1015.00,Rehabilitation Counselors
Behavioral & Mental Health,19-4061.00,Social Science Research Assistants
Behavioral & Mental Health,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Behavioral & Mental Health,29-1129.00,"Therapists, All Other"
Behavioral & Mental Health; Biotechnology Research & Development,15-2041.00,Statisticians
Behavioral & Mental Health; Biotechnology Research & Development; Health Data & Administration; Physical Health,19-3099.00,"Social Scientists and Related Workers, All Other"
Behavioral & Mental Health; Biotechnology Research & Development; Physical Health,19-1099.00,"Life Scientists, All Other"
Biotechnology Research & Development,19-1029.01,Bioinformatics Scientists
Biotechnology Research & Development,15-2099.01,Bioinformatics Technicians
Biotechnology Research & Development,19-1029.00,"Biological Scientists, All Other"
Biotechnology Research & Development,19-4021.00,Biological Technicians
Biotechnology Research & Development,19-1029.04,Biologists
Biotechnology Research & Development,15-2041.01,Biostatisticians
Biotechnology Research & Development,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Biotechnology Research & Development,19-1029.03,Geneticists
Biotechnology Research & Development,15-2099.00,"Mathematical Science Occupations, All Other"
Biotechnology Research & Development,15-2021.00,Mathematicians
Biotechnology Research & Development,19-1042.00,"Medical Scientists, Except Epidemiologists"
Biotechnology Research & Development,19-1029.02,Molecular and Cellular Biologists
Biotechnology Research & Development,19-2012.00,Physicists
Biotechnology Research & Development,19-3022.00,Survey Researchers
Biotechnology Research & Development; Physical Health,19-3091.00,Anthropologists and Archeologists
Biotechnology Research & Development; Physical Health,11-9121.01,Clinical Research Coordinators
Biotechnology Research & Development; Physical Health,11-9121.00,Natural Sciences Managers
Community & Social Services,21-1021.00,"Child, Family, and School Social Workers"
Community & Social Services,21-2011.00,Clergy
Community & Social Services,21-1099.00,"Community and Social Service Specialists, All Other"
Community & Social Services,21-1094.00,Community Health Workers
Community & Social Services,21-2021.00,"Directors, Religious Activities and Education"
Community & Social Services,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
Community & Social Services,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
Community & Social Services,21-1091.00,Health Education Specialists
Community & Social Services,21-1022.00,Healthcare Social Workers
Community & Social Services,43-4111.00,"Interviewers, Except Eligibility and Loan"
Community & Social Services,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Community & Social Services,21-1023.00,Mental Health and Substance Abuse Social Workers
Community & Social Services,29-1122.00,Occupational Therapists
Community & Social Services,21-2099.00,"Religious Workers, All Other"
Community & Social Services,11-9151.00,Social and Community Service Managers
Community & Social Services,21-1093.00,Social and Human Service Assistants
Community & Social Services,21-1029.00,"Social Workers, All Other"
Health Data & Administration,15-1232.00,Computer User Support Specialists
Health Data & Administration,29-9021.00,Health Information Technologists and Medical Registrars
Health Data & Administration,11-9111.00,Medical and Health Services Managers
Health Data & Administration,31-9092.00,Medical Assistants
Health Data & Administration,29-2072.00,Medical Records Specialists
Health Data & Administration,43-6013.00,Medical Secretaries and Administrative Assistants
Health Data & Administration,31-9094.00,Medical Transcriptionists
Health Data & Administration,43-2011.00,"Switchboard Operators, Including Answering Service"
Health Data & Administration,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Health Data & Administration,29-2056.00,Veterinary Technologists and Technicians
Health Data & Administration; Physical Health,19-3093.00,Historians
Personal Care Services,39-5011.00,Barbers
Personal Care Services,35-2012.00,"Cooks, Institution and Cafeteria"
Personal Care Services,39-9031.00,Exercise Trainers and Group Fitness Instructors
Personal Care Services,39-1022.00,First-Line Supervisors of Personal Service Workers
Personal Care Services,35-3041.00,"Food Servers, Nonrestaurant"
Personal Care Services,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Personal Care Services,31-1121.00,Home Health Aides
Personal Care Services,39-5091.00,"Makeup Artists, Theatrical and Performance"
Personal Care Services,39-5092.00,Manicurists and Pedicurists
Personal Care Services,31-9011.00,Massage Therapists
Personal Care Services,31-1122.00,Personal Care Aides
Personal Care Services,39-9099.00,"Personal Care and Service Workers, All Other"
Personal Care Services,39-5093.00,Shampooers
Personal Care Services,39-5094.00,Skincare Specialists
Personal Care Services,29-1127.00,Speech-Language Pathologists
Personal Care Services; Physical Health,29-2051.00,Dietetic Technicians
Personal Care Services; Physical Health,29-1031.00,Dietitians and Nutritionists
Personal Care Services; Physical Health,31-9099.02,Endoscopy Technicians
Personal Care Services; Physical Health,31-9099.00,"Healthcare Support Workers, All Other"
Personal Care Services; Physical Health,31-9099.01,Speech-Language Pathology Assistants
Physical Health,29-1291.00,Acupuncturists
Physical Health,29-1141.01,Acute Care Nurses
Physical Health,29-1141.02,Advanced Practice Psychiatric Nurses
Physical Health,29-1229.01,Allergists and Immunologists
Physical Health,29-1071.01,Anesthesiologist Assistants
Physical Health,29-1211.00,Anesthesiologists
Physical Health,29-1181.00,Audiologists
Physical Health,29-1212.00,Cardiologists
Physical Health,29-2031.00,Cardiovascular Technologists and Technicians
Physical Health,29-1011.00,Chiropractors
Physical Health,29-1141.04,Clinical Nurse Specialists
Physical Health,39-4012.00,Crematory Operators
Physical Health,29-1141.03,Critical Care Nurses
Physical Health,29-2011.01,Cytogenetic Technologists
