Sub-Cluster,Code,Occupation
Business Information Management,15-2099.01,Bioinformatics Technicians
Business Information Management,15-2041.01,Biostatisticians
Business Information Management,15-2099.00,"Mathematical Science Occupations, All Other"
Business Information Management,15-2021.00,Mathematicians
Business Information Management,15-2031.00,Operations Research Analysts
Business Information Management,15-2041.00,Statisticians
Business Information Management; Entrepreneurship & Small Business,13-1111.00,Management Analysts
Business Information Management; Entrepreneurship & Small Business; Leadership & Operations,13-1199.04,Business Continuity Planners
Business Information Management; Entrepreneurship & Small Business; Leadership & Operations,13-1199.00,"Business Operations Specialists, All Other"
Business Information Management; Entrepreneurship & Small Business; Leadership & Operations,13-1199.06,Online Merchants
Business Information Management; Entrepreneurship & Small Business; Leadership & Operations,13-1199.07,Security Management Specialists
Business Information Management; Entrepreneurship & Small Business; Leadership & Operations,13-1199.05,Sustainability Specialists
Business Information Management; Leadership & Operations,19-3011.00,Economists
Business Information Management; Leadership & Operations,19-3011.01,Environmental Economists
Business Information Management; Regulation,11-3031.00,Financial Managers
Business Information Management; Regulation,11-3031.03,Investment Fund Managers
Business Information Management; Regulation,11-3031.01,Treasurers and Controllers
Entrepreneurship & Small Business,35-1011.00,Chefs and Head Cooks
Entrepreneurship & Small Business,11-9021.00,Construction Managers
Entrepreneurship & Small Business,35-2012.00,"Cooks, Institution and Cafeteria"
Entrepreneurship & Small Business,35-2013.00,"Cooks, Private Household"
Entrepreneurship & Small Business,11-9179.01,Fitness and Wellness Coordinators
Entrepreneurship & Small Business,11-9171.00,Funeral Home Managers
Entrepreneurship & Small Business,11-9179.00,"Personal Service Managers, All Other"
Entrepreneurship & Small Business,11-9179.02,Spa Managers
Entrepreneurship & Small Business; Leadership & Operations,11-3012.00,Administrative Services Managers
Entrepreneurship & Small Business; Leadership & Operations,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Entrepreneurship & Small Business; Leadership & Operations,11-1011.00,Chief Executives
Entrepreneurship & Small Business; Leadership & Operations,11-1011.03,Chief Sustainability Officers
Entrepreneurship & Small Business; Leadership & Operations,11-3111.00,Compensation and Benefits Managers
Entrepreneurship & Small Business; Leadership & Operations,11-9199.02,Compliance Managers
Entrepreneurship & Small Business; Leadership & Operations,11-3013.00,Facilities Managers
Entrepreneurship & Small Business; Leadership & Operations,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Entrepreneurship & Small Business; Leadership & Operations,11-1021.00,General and Operations Managers
Entrepreneurship & Small Business; Leadership & Operations,11-3121.00,Human Resources Managers
Entrepreneurship & Small Business; Leadership & Operations,13-1071.00,Human Resources Specialists
Entrepreneurship & Small Business; Leadership & Operations,11-9199.08,Loss Prevention Managers
Entrepreneurship & Small Business; Leadership & Operations,11-9199.00,"Managers, All Other"
Entrepreneurship & Small Business; Leadership & Operations,43-3051.00,Payroll and Timekeeping Clerks
Entrepreneurship & Small Business; Leadership & Operations,11-2032.00,Public Relations Managers
Entrepreneurship & Small Business; Leadership & Operations,27-3031.00,Public Relations Specialists
Entrepreneurship & Small Business; Leadership & Operations,11-3013.01,Security Managers
Entrepreneurship & Small Business; Leadership & Operations,11-3131.00,Training and Development Managers
Entrepreneurship & Small Business; Leadership & Operations,11-9199.10,Wind Energy Development Managers
Entrepreneurship & Small Business; Leadership & Operations,11-9199.09,Wind Energy Operations Managers
Entrepreneurship & Small Business; Leadership & Operations; Regulation,11-9199.01,Regulatory Affairs Managers
Entrepreneurship & Small Business; Project Management,13-1082.00,Project Management Specialists
Leadership & Operations,11-3051.03,Biofuels Production Managers
Leadership & Operations,11-3051.04,Biomass Power Plant Managers
Leadership & Operations,43-9021.00,Data Entry Keyers
Leadership & Operations,43-9031.00,Desktop Publishers
Leadership & Operations,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Leadership & Operations,11-3051.02,Geothermal Production Managers
Leadership & Operations,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Leadership & Operations,11-3051.06,Hydroelectric Production Managers
Leadership & Operations,11-3051.00,Industrial Production Managers
Leadership & Operations,19-3032.00,Industrial-Organizational Psychologists
Leadership & Operations,13-1075.00,Labor Relations Specialists
Leadership & Operations,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Leadership & Operations,43-9199.00,"Office and Administrative Support Workers, All Other"
Leadership & Operations,43-9061.00,"Office Clerks, General"
Leadership & Operations,43-9071.00,"Office Machine Operators, Except Computer"
Leadership & Operations,43-4151.00,Order Clerks
Leadership & Operations,19-3094.00,Political Scientists
Leadership & Operations,11-3061.00,Purchasing Managers
Leadership & Operations,11-3051.01,Quality Control Systems Managers
Leadership & Operations,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Leadership & Operations,13-1151.00,Training and Development Specialists
Leadership & Operations,43-9022.00,Word Processors and Typists
Regulation,13-1041.00,Compliance Officers
Regulation,13-1041.06,Coroners
Regulation,13-1041.08,Customs Brokers
Regulation,13-1041.01,Environmental Compliance Inspectors
Regulation,13-1041.03,Equal Opportunity Representatives and Officers
Regulation,17-2111.02,Fire-Prevention and Protection Engineers
Regulation,13-1041.04,Government Property Inspectors and Investigators
Regulation,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Regulation,19-5011.00,Occupational Health and Safety Specialists
Regulation,19-5012.00,Occupational Health and Safety Technicians
Regulation,13-1041.07,Regulatory Affairs Specialists
