Sub-Cluster,Code,Occupation
"Market Research, Analytics, & Ethics",15-2051.01,Business Intelligence Analysts
"Market Research, Analytics, & Ethics",15-2051.00,Data Scientists
"Market Research, Analytics, & Ethics",13-1161.00,Market Research Analysts and Marketing Specialists
"Market Research, Analytics, & Ethics",15-2021.00,Mathematicians
"Market Research, Analytics, & Ethics",13-1161.01,Search Marketing Strategists
"Market Research, Analytics, & Ethics",19-3041.00,Sociologists
"Market Research, Analytics, & Ethics",15-2041.00,Statisticians
Marketing & Advertising,11-2011.00,Advertising and Promotions Managers
Marketing & Advertising,41-9011.00,Demonstrators and Product Promoters
Marketing & Advertising,11-2021.00,Marketing Managers
Marketing & Advertising,27-4021.00,Photographers
Retail & Customer Experience,41-2011.00,Cashiers
Retail & Customer Experience,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Retail & Customer Experience,43-4051.00,Customer Service Representatives
Retail & Customer Experience,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Retail & Customer Experience,41-1011.00,First-Line Supervisors of Retail Sales Workers
Retail & Customer Experience,27-1023.00,Floral Designers
Retail & Customer Experience,41-2022.00,Parts Salespersons
Retail & Customer Experience,41-2031.00,Retail Salespersons
Retail & Customer Experience,41-9099.00,"Sales and Related Workers, All Other"
Retail & Customer Experience,11-2022.00,Sales Managers
Strategic Sales,41-3011.00,Advertising Sales Agents
Strategic Sales,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Strategic Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Strategic Sales,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Strategic Sales,41-9031.00,Sales Engineers
Strategic Sales,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
Strategic Sales,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Strategic Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Strategic Sales,41-4011.07,Solar Sales Representatives and Assessors
Strategic Sales,41-9041.00,Telemarketers
Strategic Sales,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
