Sub-Cluster,Code,Occupation
Emergency Response,33-2011.00,Firefighters
Emergency Response,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Emergency Response,43-2021.00,Telephone Operators
Emergency Response; Military & National Security,11-9161.00,Emergency Management Directors
Emergency Response; Public Safety,33-3051.04,Customs and Border Protection Officers
Emergency Response; Public Safety,33-3051.00,Police and Sheriff's Patrol Officers
Judicial Systems,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Judicial Systems,23-1022.00,"Arbitrators, Mediators, and Conciliators"
Judicial Systems,27-3092.00,Court Reporters and Simultaneous Captioners
Judicial Systems,19-4092.00,Forensic Science Technicians
Judicial Systems,27-3091.00,Interpreters and Translators
Judicial Systems,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Judicial Systems,23-1012.00,Judicial Law Clerks
Judicial Systems,23-1011.00,Lawyers
Judicial Systems,43-6012.00,Legal Secretaries and Administrative Assistants
Judicial Systems,23-2099.00,"Legal Support Workers, All Other"
Judicial Systems,23-2011.00,Paralegals and Legal Assistants
"Local, State, & Federal Services",19-3091.00,Anthropologists and Archeologists
"Local, State, & Federal Services",25-4011.00,Archivists
"Local, State, & Federal Services",15-2041.01,Biostatisticians
"Local, State, & Federal Services",11-9199.11,Brownfield Redevelopment Specialists and Site Managers
"Local, State, & Federal Services",13-2031.00,Budget Analysts
"Local, State, & Federal Services",17-2051.00,Civil Engineers
"Local, State, & Federal Services",19-2041.01,Climate Change Policy Analysts
"Local, State, & Federal Services",21-1099.00,"Community and Social Service Specialists, All Other"
"Local, State, & Federal Services",21-1094.00,Community Health Workers
"Local, State, & Federal Services",19-1031.00,Conservation Scientists
"Local, State, & Federal Services",47-4011.00,Construction and Building Inspectors
"Local, State, & Federal Services",35-2012.00,"Cooks, Institution and Cafeteria"
"Local, State, & Federal Services",13-1041.06,Coroners
"Local, State, & Federal Services",43-4031.00,"Court, Municipal, and License Clerks"
"Local, State, & Federal Services",19-3011.00,Economists
"Local, State, & Federal Services",11-9039.00,"Education Administrators, All Other"
"Local, State, & Federal Services",43-4061.00,"Eligibility Interviewers, Government Programs"
"Local, State, & Federal Services",47-4011.01,Energy Auditors
"Local, State, & Federal Services",19-3011.01,Environmental Economists
"Local, State, & Federal Services",19-2041.02,Environmental Restoration Planners
"Local, State, & Federal Services",19-4042.00,"Environmental Science and Protection Technicians, Including Health"
"Local, State, & Federal Services",19-2041.00,"Environmental Scientists and Specialists, Including Health"
"Local, State, & Federal Services",19-1041.00,Epidemiologists
"Local, State, & Federal Services",13-1041.03,Equal Opportunity Representatives and Officers
"Local, State, & Federal Services",11-3013.00,Facilities Managers
"Local, State, & Federal Services",43-4071.00,File Clerks
"Local, State, & Federal Services",33-3031.00,Fish and Game Wardens
"Local, State, & Federal Services",19-3092.00,Geographers
"Local, State, & Federal Services",19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
"Local, State, & Federal Services",11-3121.00,Human Resources Managers
"Local, State, & Federal Services",19-2041.03,Industrial Ecologists
"Local, State, & Federal Services",43-4199.00,"Information and Record Clerks, All Other"
"Local, State, & Federal Services",11-1031.00,Legislators
"Local, State, & Federal Services",19-1099.00,"Life Scientists, All Other"
"Local, State, & Federal Services",13-1111.00,Management Analysts
"Local, State, & Federal Services",15-2021.00,Mathematicians
"Local, State, & Federal Services",43-5041.00,"Meter Readers, Utilities"
"Local, State, & Federal Services",19-1031.03,Park Naturalists
"Local, State, & Federal Services",43-5051.00,Postal Service Clerks
"Local, State, & Federal Services",43-5052.00,Postal Service Mail Carriers
"Local, State, & Federal Services",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
"Local, State, & Federal Services",11-9131.00,Postmasters and Mail Superintendents
"Local, State, & Federal Services",19-1031.02,Range Managers
"Local, State, & Federal Services",13-1041.07,Regulatory Affairs Specialists
"Local, State, & Federal Services",11-3013.01,Security Managers
"Local, State, & Federal Services",11-9151.00,Social and Community Service Managers
"Local, State, & Federal Services",19-4061.00,Social Science Research Assistants
"Local, State, & Federal Services",19-3099.00,"Social Scientists and Related Workers, All Other"
"Local, State, & Federal Services",19-3041.00,Sociologists
"Local, State, & Federal Services",15-2041.00,Statisticians
"Local, State, & Federal Services",19-3022.00,Survey Researchers
"Local, State, & Federal Services",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
"Local, State, & Federal Services",11-3131.00,Training and Development Managers
"Local, State, & Federal Services",17-2051.01,Transportation Engineers
"Local, State, & Federal Services",19-3099.01,Transportation Planners
"Local, State, & Federal Services",19-3051.00,Urban and Regional Planners
"Local, State, & Federal Services",17-2051.02,Water/Wastewater Engineers
"Local, State, & Federal Services",11-9199.10,Wind Energy Development Managers
"Local, State, & Federal Services",11-9199.09,Wind Energy Operations Managers
"Local, State, & Federal Services; Military & National Security",19-2011.00,Astronomers
"Local, State, & Federal Services; Military & National Security",19-2021.00,Atmospheric and Space Scientists
"Local, State, & Federal Services; Military & National Security",11-9199.02,Compliance Managers
"Local, State, & Federal Services; Military & National Security",11-9199.08,Loss Prevention Managers
"Local, State, & Federal Services; Military & National Security",11-9199.00,"Managers, All Other"
"Local, State, & Federal Services; Military & National Security",19-2012.00,Physicists
"Local, State, & Federal Services; Military & National Security",19-3094.00,Political Scientists
"Local, State, & Federal Services; Military & National Security",11-9199.01,Regulatory Affairs Managers
"Local, State, & Federal Services; Military & National Security; Public Safety",33-3021.00,Detectives and Criminal Investigators
"Local, State, & Federal Services; Military & National Security; Public Safety",33-1012.00,First-Line Supervisors of Police and Detectives
"Local, State, & Federal Services; Military & National Security; Public Safety",33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
"Local, State, & Federal Services; Military & National Security; Public Safety",33-3021.06,Intelligence Analysts
"Local, State, & Federal Services; Military & National Security; Public Safety",33-3021.02,Police Identification and Records Officers
"Local, State, & Federal Services; Public Safety",13-1041.00,Compliance Officers
"Local, State, & Federal Services; Public Safety",13-1041.08,Customs Brokers
"Local, State, & Federal Services; Public Safety",13-1041.01,Environmental Compliance Inspectors
"Local, State, & Federal Services; Public Safety",13-1041.04,Government Property Inspectors and Investigators
Military & National Security,15-1299.07,Blockchain Engineers
Military & National Security,17-1021.00,Cartographers and Photogrammetrists
Military & National Security,15-1299.00,"Computer Occupations, All Other"
Military & National Security,15-1299.08,Computer Systems Engineers/Architects
Military & National Security,15-1299.06,Digital Forensics Analysts
Military & National Security,15-1299.03,Document Management Specialists
Military & National Security,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Military & National Security,15-1299.02,Geographic Information Systems Technologists and Technicians
Military & National Security,15-1299.05,Information Security Engineers
Military & National Security,15-1299.09,Information Technology Project Managers
Military & National Security,19-4051.00,Nuclear Technicians
Military & National Security,15-1299.04,Penetration Testers
Military & National Security; Public Safety,33-1091.00,First-Line Supervisors of Security Workers
Public Safety,33-3011.00,Bailiffs
Public Safety,37-2019.00,"Building Cleaning Workers, All Other"
Public Safety,33-3012.00,Correctional Officers and Jailers
Public Safety,33-9091.00,Crossing Guards and Flaggers
Public Safety,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Public Safety,33-2021.00,Fire Inspectors and Investigators
Public Safety,33-1011.00,First-Line Supervisors of Correctional Officers
Public Safety,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Public Safety,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Public Safety,37-3019.00,"Grounds Maintenance Workers, All Other"
Public Safety,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Public Safety,33-3041.00,Parking Enforcement Workers
Public Safety,33-9021.00,Private Detectives and Investigators
Public Safety,21-1092.00,Probation Officers and Correctional Treatment Specialists
Public Safety,33-9099.00,"Protective Service Workers, All Other"
Public Safety,43-5031.00,Public Safety Telecommunicators
Public Safety,33-9099.02,Retail Loss Prevention Specialists
Public Safety,33-9094.00,School Bus Monitors
Public Safety,33-9032.00,Security Guards
Public Safety,33-3052.00,Transit and Railroad Police
Public Safety,33-9093.00,Transportation Security Screeners
