Sub-Cluster,Code,Occupation
Air & Space Transportation,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
Air & Space Transportation,53-2021.00,Air Traffic Controllers
Air & Space Transportation,53-1041.00,Aircraft Cargo Handling Supervisors
Air & Space Transportation,53-6032.00,Aircraft Service Attendants
Air & Space Transportation,53-2022.00,Airfield Operations Specialists
Air & Space Transportation,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Air & Space Transportation,49-2091.00,Avionics Technicians
Air & Space Transportation,53-2012.00,Commercial Pilots
Air & Space Transportation,53-2031.00,Flight Attendants
Air & Space Transportation,11-9121.00,Natural Sciences Managers
Ground & Rail Transportation,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Ground & Rail Transportation,53-3051.00,"Bus Drivers, School"
Ground & Rail Transportation,53-3052.00,"Bus Drivers, Transit and Intercity"
Ground & Rail Transportation,49-9092.00,Commercial Divers
Ground & Rail Transportation,53-3031.00,Driver/Sales Workers
Ground & Rail Transportation,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
Ground & Rail Transportation,53-7051.00,Industrial Truck and Tractor Operators
Ground & Rail Transportation,53-3033.00,Light Truck Drivers
Ground & Rail Transportation,53-4011.00,Locomotive Engineers
Ground & Rail Transportation,53-3099.00,"Motor Vehicle Operators, All Other"
Ground & Rail Transportation,53-6021.00,Parking Attendants
Ground & Rail Transportation,53-4099.00,"Rail Transportation Workers, All Other"
Ground & Rail Transportation,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Ground & Rail Transportation,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
Ground & Rail Transportation,53-4031.00,Railroad Conductors and Yardmasters
Ground & Rail Transportation,53-3053.00,Shuttle Drivers and Chauffeurs
Ground & Rail Transportation,53-4041.00,Subway and Streetcar Operators
Ground & Rail Transportation,53-3054.00,Taxi Drivers
Ground & Rail Transportation; Maintenance & Repair,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Ground & Rail Transportation; Maintenance & Repair,53-6099.00,"Transportation Workers, All Other"
Ground & Rail Transportation; Marine Transportation,43-5011.00,Cargo and Freight Agents
Ground & Rail Transportation; Marine Transportation,43-5011.01,Freight Forwarders
Maintenance & Repair,49-3011.00,Aircraft Mechanics and Service Technicians
Maintenance & Repair,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Maintenance & Repair,49-3021.00,Automotive Body and Related Repairers
Maintenance & Repair,17-3027.01,Automotive Engineering Technicians
Maintenance & Repair,49-3022.00,Automotive Glass Installers and Repairers
Maintenance & Repair,49-3023.00,Automotive Service Technicians and Mechanics
Maintenance & Repair,53-6051.01,Aviation Inspectors
Maintenance & Repair,49-3091.00,Bicycle Repairers
Maintenance & Repair,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
Maintenance & Repair,53-7061.00,Cleaners of Vehicles and Equipment
Maintenance & Repair,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
Maintenance & Repair,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
Maintenance & Repair,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Maintenance & Repair,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
Maintenance & Repair,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Maintenance & Repair,53-7071.00,Gas Compressor and Gas Pumping Station Operators
Maintenance & Repair,47-4051.00,Highway Maintenance Workers
Maintenance & Repair,17-3027.00,Mechanical Engineering Technologists and Technicians
Maintenance & Repair,49-3051.00,Motorboat Mechanics and Service Technicians
Maintenance & Repair,49-3052.00,Motorcycle Mechanics
Maintenance & Repair,17-3029.01,Non-Destructive Testing Specialists
Maintenance & Repair,17-3029.08,Photonics Technicians
Maintenance & Repair,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Maintenance & Repair,49-3043.00,Rail Car Repairers
Maintenance & Repair,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Maintenance & Repair,49-3092.00,Recreational Vehicle Service Technicians
Maintenance & Repair,49-9097.00,Signal and Track Switch Repairers
Maintenance & Repair,49-3093.00,Tire Repairers and Changers
Maintenance & Repair,53-6041.00,Traffic Technicians
Maintenance & Repair,53-6051.00,Transportation Inspectors
Maintenance & Repair,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
Marine Transportation,53-6031.00,Automotive and Watercraft Service Attendants
Marine Transportation,53-6011.00,Bridge and Lock Tenders
Marine Transportation,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Marine Transportation,17-2121.00,Marine Engineers and Naval Architects
Marine Transportation,53-5022.00,Motorboat Operators
Marine Transportation,53-5011.00,Sailors and Marine Oilers
Marine Transportation,53-5031.00,Ship Engineers
Planning & Logistics,11-3051.03,Biofuels Production Managers
Planning & Logistics,11-3051.04,Biomass Power Plant Managers
Planning & Logistics,17-3022.00,Civil Engineering Technologists and Technicians
Planning & Logistics,43-5021.00,Couriers and Messengers
Planning & Logistics,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Planning & Logistics,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
Planning & Logistics,53-1044.00,First-Line Supervisors of Passenger Attendants
Planning & Logistics,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other"
Planning & Logistics,11-3051.02,Geothermal Production Managers
Planning & Logistics,11-3051.06,Hydroelectric Production Managers
Planning & Logistics,11-3051.00,Industrial Production Managers
Planning & Logistics,13-1081.00,Logisticians
Planning & Logistics,13-1081.02,Logistics Analysts
Planning & Logistics,13-1081.01,Logistics Engineers
Planning & Logistics,11-3051.01,Quality Control Systems Managers
Planning & Logistics,17-2072.01,Radio Frequency Identification Device Specialists
Planning & Logistics,53-1042.01,Recycling Coordinators
Planning & Logistics,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Planning & Logistics,19-3051.00,Urban and Regional Planners
Planning & Logistics; Purchasing & Warehousing,11-3071.04,Supply Chain Managers
Planning & Logistics; Purchasing & Warehousing,11-3071.00,"Transportation, Storage, and Distribution Managers"
Purchasing & Warehousing,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Purchasing & Warehousing,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
